订单编号,虚构SKU,演示品名,成品尺寸mm,需求数量,版面容量,材料,单张材料成本,数据性质
DEMO-LBL-001,SYN-LBL-060-01,虚构样品·晨曦 01,60x40,1200,48,铜版纸,1.85,SYNTHETIC DEMO
DEMO-LBL-002,SYN-LBL-060-02,虚构样品·晨曦 02,60x40,850,48,铜版纸,1.85,SYNTHETIC DEMO
DEMO-LBL-003,SYN-LBL-060-03,虚构样品·晨曦 03,60x40,2360,48,铜版纸,1.85,SYNTHETIC DEMO
DEMO-LBL-004,SYN-LBL-060-04,虚构样品·晨曦 04,60x40,480,48,铜版纸,1.85,SYNTHETIC DEMO
DEMO-LBL-005,SYN-LBL-060-05,虚构样品·晨曦 05,60x40,1750,48,铜版纸,1.85,SYNTHETIC DEMO
DEMO-LBL-006,SYN-LBL-060-06,虚构样品·晨曦 06,60x40,920,48,铜版纸,1.85,SYNTHETIC DEMO
DEMO-LBL-007,SYN-LBL-060-07,虚构样品·晨曦 07,60x40,3100,48,铜版纸,1.85,SYNTHETIC DEMO
DEMO-LBL-008,SYN-LBL-060-08,虚构样品·晨曦 08,60x40,640,48,铜版纸,1.85,SYNTHETIC DEMO
DEMO-LBL-009,SYN-LBL-080-01,虚构样品·星河 01,80x50,800,30,合成纸,2.1,SYNTHETIC DEMO
DEMO-LBL-010,SYN-LBL-080-02,虚构样品·星河 02,80x50,1560,30,合成纸,2.1,SYNTHETIC DEMO
DEMO-LBL-011,SYN-LBL-080-03,虚构样品·星河 03,80x50,420,30,合成纸,2.1,SYNTHETIC DEMO
DEMO-LBL-012,SYN-LBL-080-04,虚构样品·星河 04,80x50,2050,30,合成纸,2.1,SYNTHETIC DEMO
DEMO-LBL-013,SYN-LBL-080-05,虚构样品·星河 05,80x50,975,30,合成纸,2.1,SYNTHETIC DEMO
DEMO-LBL-014,SYN-LBL-080-06,虚构样品·星河 06,80x50,1340,30,合成纸,2.1,SYNTHETIC DEMO
DEMO-LBL-015,SYN-LBL-080-07,虚构样品·星河 07,80x50,2760,30,合成纸,2.1,SYNTHETIC DEMO
DEMO-LBL-016,SYN-LBL-080-08,虚构样品·星河 08,80x50,510,30,合成纸,2.1,SYNTHETIC DEMO
DEMO-LBL-017,SYN-LBL-100-01,虚构样品·极光 01,100x70,360,20,哑银 PET,2.45,SYNTHETIC DEMO
DEMO-LBL-018,SYN-LBL-100-02,虚构样品·极光 02,100x70,820,20,哑银 PET,2.45,SYNTHETIC DEMO
DEMO-LBL-019,SYN-LBL-100-03,虚构样品·极光 03,100x70,1260,20,哑银 PET,2.45,SYNTHETIC DEMO
DEMO-LBL-020,SYN-LBL-100-04,虚构样品·极光 04,100x70,540,20,哑银 PET,2.45,SYNTHETIC DEMO
DEMO-LBL-021,SYN-LBL-100-05,虚构样品·极光 05,100x70,1740,20,哑银 PET,2.45,SYNTHETIC DEMO
DEMO-LBL-022,SYN-LBL-100-06,虚构样品·极光 06,100x70,960,20,哑银 PET,2.45,SYNTHETIC DEMO
DEMO-LBL-023,SYN-LBL-100-07,虚构样品·极光 07,100x70,2200,20,哑银 PET,2.45,SYNTHETIC DEMO
DEMO-LBL-024,SYN-LBL-100-08,虚构样品·极光 08,100x70,680,20,哑银 PET,2.45,SYNTHETIC DEMO
